Trip_ID,Segment,30_min_prediction,60_min_prediction
14010000631165368,5.0,2.6803644,7.514195
14010000631165368,6.0,2.721545,7.421564
14010000631165368,6.0,2.63995,7.249911
14010000631165368,6.0,2.4992192,7.092724
14010000631165368,6.0,2.4486167,7.067986
14010000631165368,6.0,2.5174022,7.2274055
14010000631165368,1.0,2.6244247,7.4506297
14010000631165368,1.0,2.6341188,7.5954995
14010000631165368,1.0,2.597454,7.747824
14010000631165368,1.0,2.6452591,7.9771795
14010000631165368,3.0,2.7522504,8.131215
14010000631165368,4.0,2.8910372,8.330437
14010000631165368,5.0,2.8521476,8.114698
14010000631165368,5.0,2.754303,7.7437706
14010000631165368,5.0,2.6687613,7.5491614
14010000631165368,6.0,2.6524756,7.63006
14010000631165368,6.0,2.5836718,7.5214376
14010000631165368,6.0,2.6253088,7.557417
14010000631165434,1.0,2.7250977,7.791306
14010000631165514,2.0,2.7375329,8.0023
14010000631165514,2.0,2.7336688,7.9663887
14010000631165514,2.0,2.7174616,7.8458714
14010000631165514,3.0,2.7061996,7.8327403
14010000631165514,3.0,2.6240551,7.7470818
14010000631165514,1.0,2.6147897,7.7357407
14010000631165514,2.0,2.6406126,7.6621056
14010000631165514,2.0,2.7277439,7.836943
14010000631165514,3.0,2.6921234,7.803933
14010000631165514,3.0,2.6306264,7.726778
14010000631165514,3.0,2.6338933,7.768353
14010000631165590,4.0,2.7768238,8.257174
14010000631165590,4.0,2.8165429,8.235011
14010000631165590,5.0,2.8745577,8.200256
14010000631165590,5.0,2.8418982,8.032285
14010000631165590,5.0,2.7839925,7.833114
14010000631165590,6.0,2.6949525,7.7051234
14010000631165590,6.0,2.7030454,7.688447
14010000631165590,2.0,2.7262633,7.595481
14010000631165590,4.0,2.6766367,7.5514035
14010000631165590,4.0,2.6588254,7.650659
14010000631165590,4.0,2.519425,7.573125
14010000631165590,5.0,2.5697982,7.7952204
14010000631165590,5.0,2.719386,8.05105
14010000631165590,5.0,2.7940717,8.118748
14010000631165590,6.0,2.802248,8.085365
14010000631165590,6.0,2.7659798,7.9882135
14010000631165648,2.0,2.6202462,7.667498
14010000631165648,2.0,2.6839838,7.7673697
14010000631165648,2.0,2.7757745,7.807149
14010000631165648,2.0,2.7227707,7.592798
14010000631165648,2.0,2.680191,7.442853
14010000631165648,3.0,2.5926704,7.219281
14010000631165648,3.0,2.5468256,7.154763
14010000631165780,4.0,2.621835,7.1801534
